lr,train_loss_step,train_acc_step,train_acc_top5_step,epoch,step,val_loss,val_acc,val_acc_top5,train_loss_epoch,train_acc_epoch,train_acc_top5_epoch
0.0009800000116229057,2.248021364212036,0.2604166567325592,0.7395833134651184,0,49,,,,,,
0.001979999942705035,1.946515440940857,0.6041666865348816,0.9791666865348816,0,99,,,,,,
0.0029800001066178083,1.4164800643920898,0.6145833134651184,1.0,0,149,,,,,,
0.003980000037699938,1.0339621305465698,0.6979166865348816,1.0,0,199,,,,,,
0.004980000201612711,0.7313534617424011,0.8020833134651184,0.9791666865348816,0,249,,,,,,
0.005979999899864197,0.6639514565467834,0.7604166865348816,1.0,0,299,,,,,,
0.00698000006377697,0.47830724716186523,0.8229166865348816,1.0,0,349,,,,,,
0.007980000227689743,0.5436557531356812,0.7916666865348816,1.0,0,399,,,,,,
0.008980000391602516,0.49914249777793884,0.8333333134651184,1.0,0,449,,,,,,
0.009979999624192715,0.46875983476638794,0.8333333134651184,1.0,0,499,,,,,,
,,,,0,499,0.28933754563331604,0.8980833292007446,0.9994999766349792,,,
,,,,0,499,,,,1.0921683311462402,0.667187511920929,0.9318333268165588
0.009997074492275715,0.4715918004512787,0.8541666865348816,0.9791666865348816,1,549,,,,,,
0.009988062083721161,0.6323346495628357,0.8020833134651184,0.9791666865348816,1,599,,,,,,
0.009972972795367241,0.4310382306575775,0.8229166865348816,1.0,1,649,,,,,,
0.009951825253665447,0.5471563339233398,0.8020833134651184,1.0,1,699,,,,,,
0.00992464367300272,0.34855303168296814,0.875,0.9791666865348816,1,749,,,,,,
0.00989146251231432,0.3847854733467102,0.8229166865348816,1.0,1,799,,,,,,
0.009852321818470955,0.6188534498214722,0.7395833134651184,1.0,1,849,,,,,,
0.009807269088923931,0.5360313653945923,0.8020833134651184,0.9895833134651184,1,899,,,,,,
0.009756360203027725,0.5528265833854675,0.78125,1.0,1,949,,,,,,
0.009699655696749687,0.4876686930656433,0.84375,1.0,1,999,,,,,,
,,,,1,999,0.21787689626216888,0.9204166531562805,0.999750018119812,,,
,,,,1,999,,,,0.4452356696128845,0.840666651725769,0.9949166774749756
0.009637225419282913,0.4974982440471649,0.7916666865348816,0.9895833134651184,2,1049,,,,,,
0.009569145739078522,0.29769274592399597,0.8854166865348816,1.0,2,1099,,,,,,
0.009495499543845654,0.48333507776260376,0.84375,0.9895833134651184,2,1149,,,,,,
0.009416375309228897,0.4305492341518402,0.8333333134651184,1.0,2,1199,,,,,,
0.009331871755421162,0.3321552574634552,0.90625,1.0,2,1249,,,,,,
0.009242089465260506,0.4242517948150635,0.875,1.0,2,1299,,,,,,
0.009147139266133308,0.2680925726890564,0.8958333134651184,1.0,2,1349,,,,,,
0.009047135710716248,0.3667580783367157,0.8333333134651184,1.0,2,1399,,,,,,
0.008942201733589172,0.4704165458679199,0.8229166865348816,1.0,2,1449,,,,,,
0.008832464925944805,0.3073686361312866,0.8645833134651184,1.0,2,1499,,,,,,
,,,,2,1499,0.18851687014102936,0.9308333396911621,0.999833345413208,,,
,,,,2,1499,,,,0.38618528842926025,0.8587916493415833,0.9957500100135803
0.008718058466911316,0.33758318424224854,0.875,1.0,3,1549,,,,,,
0.008599122986197472,0.40054330229759216,0.875,1.0,3,1599,,,,,,
0.008475801907479763,0.31868767738342285,0.8958333134651184,1.0,3,1649,,,,,,
0.008348246105015278,0.4604613780975342,0.8333333134651184,0.9895833134651184,3,1699,,,,,,
0.008216611109673977,0.3814731240272522,0.8645833134651184,1.0,3,1749,,,,,,
0.008081057108938694,0.42427200078964233,0.8645833134651184,1.0,3,1799,,,,,,
0.00794174987822771,0.3735726475715637,0.8958333134651184,1.0,3,1849,,,,,,
0.007798857521265745,0.39876705408096313,0.875,0.9895833134651184,3,1899,,,,,,
0.0076525560580194,0.3679025173187256,0.8645833134651184,1.0,3,1949,,,,,,
0.007503022439777851,0.45841288566589355,0.8125,1.0,3,1999,,,,,,
,,,,3,1999,0.17245890200138092,0.937250018119812,0.9995833039283752,,,
,,,,3,1999,,,,0.34876498579978943,0.8731458187103271,0.996708333492279
0.007350439205765724,0.3548862636089325,0.8645833134651184,0.9895833134651184,4,2049,,,,,,
0.007194992620497942,0.4029797911643982,0.8333333134651184,1.0,4,2099,,,,,,
0.007036871742457151,0.3162285089492798,0.8854166865348816,1.0,4,2149,,,,,,
0.006876268889755011,0.2612136900424957,0.8958333134651184,1.0,4,2199,,,,,,
0.006713380571454763,0.34296688437461853,0.8645833134651184,0.9895833134651184,4,2249,,,,,,
0.006548404227942228,0.3547810912132263,0.875,1.0,4,2299,,,,,,
0.006381541956216097,0.27694034576416016,0.8958333134651184,0.9895833134651184,4,2349,,,,,,
0.006212996318936348,0.44251343607902527,0.8541666865348816,0.9791666865348816,4,2399,,,,,,
0.006042972672730684,0.33330845832824707,0.8541666865348816,1.0,4,2449,,,,,,
0.005871678236871958,0.2963428199291229,0.8854166865348816,1.0,4,2499,,,,,,
,,,,4,2499,0.16254374384880066,0.9412500262260437,0.999750018119812,,,
,,,,4,2499,,,,0.32764989137649536,0.8807916641235352,0.9975625276565552
0.00569932209327817,0.44977444410324097,0.84375,1.0,5,2549,,,,,,
0.005526113789528608,0.2574966549873352,0.8854166865348816,1.0,5,2599,,,,,,
0.005352264270186424,0.3400995135307312,0.8333333134651184,1.0,5,2649,,,,,,
0.00517798587679863,0.1756991744041443,0.9166666865348816,1.0,5,2699,,,,,,
0.00500349048525095,0.29764673113822937,0.9479166865348816,1.0,5,2749,,,,,,
0.004828990902751684,0.34021902084350586,0.8958333134651184,1.0,5,2799,,,,,,
0.004654699936509132,0.31081482768058777,0.8958333134651184,1.0,5,2849,,,,,,
0.0044808294624090195,0.33990252017974854,0.875,1.0,5,2899,,,,,,
0.0043075913563370705,0.26052555441856384,0.9270833134651184,1.0,5,2949,,,,,,
0.004135197028517723,0.184058278799057,0.9375,1.0,5,2999,,,,,,
,,,,5,2999,0.15994368493556976,0.9435833096504211,0.999666690826416,,,
,,,,5,2999,,,,0.30711832642555237,0.8868541717529297,0.9972500205039978
0.003963856026530266,0.4224501848220825,0.8645833134651184,1.0,6,3049,,,,,,
0.003793777897953987,0.28682249784469604,0.9166666865348816,1.0,6,3099,,,,,,
0.0036251689307391644,0.23859938979148865,0.9166666865348816,1.0,6,3149,,,,,,
0.003458235180005431,0.21886277198791504,0.90625,1.0,6,3199,,,,,,
0.0032931799069046974,0.26782721281051636,0.9166666865348816,0.9895833134651184,6,3249,,,,,,
0.0031302040442824364,0.2611103653907776,0.9166666865348816,0.9895833134651184,6,3299,,,,,,
0.002969506196677685,0.38570308685302734,0.8645833134651184,1.0,6,3349,,,,,,
0.0028112821746617556,0.2724629044532776,0.9166666865348816,1.0,6,3399,,,,,,
0.002655724762007594,0.14831498265266418,0.96875,1.0,6,3449,,,,,,
0.0025030237156897783,0.22636616230010986,0.90625,1.0,6,3499,,,,,,
,,,,6,3499,0.14449235796928406,0.9488333463668823,0.999833345413208,,,
,,,,6,3499,,,,0.2852831184864044,0.8942916393280029,0.9972083568572998
0.0023533646017313004,0.41865965723991394,0.8645833134651184,0.9895833134651184,7,3549,,,,,,
0.002206929959356785,0.18663029372692108,0.9270833134651184,1.0,7,3599,,,,,,
0.0020638983696699142,0.15519839525222778,0.9375,1.0,7,3649,,,,,,
0.0019244441064074636,0.2766435146331787,0.8854166865348816,1.0,7,3699,,,,,,
0.0017887367866933346,0.2753064036369324,0.9166666865348816,1.0,7,3749,,,,,,
0.0016569418366998434,0.1470290869474411,0.9375,1.0,7,3799,,,,,,
0.0015292199095711112,0.2731810510158539,0.8958333134651184,0.9895833134651184,7,3849,,,,,,
0.0014057266525924206,0.33402538299560547,0.8854166865348816,0.9895833134651184,7,3899,,,,,,
0.001286612474359572,0.42938441038131714,0.84375,1.0,7,3949,,,,,,
0.0011720224283635616,0.295061856508255,0.90625,1.0,7,3999,,,,,,
,,,,7,3999,0.14338910579681396,0.9484999775886536,0.999750018119812,,,
,,,,7,3999,,,,0.2736004590988159,0.9007708430290222,0.9980416893959045
0.001062096212990582,0.24650982022285461,0.9166666865348816,1.0,8,4049,,,,,,
0.0009569677640683949,0.31335216760635376,0.8854166865348816,0.9895833134651184,8,4099,,,,,,
0.0008567650802433491,0.2830759882926941,0.90625,1.0,8,4149,,,,,,
0.0007616103393957019,0.2802963852882385,0.8958333134651184,1.0,8,4199,,,,,,
0.0006716193747706711,0.37437042593955994,0.8854166865348816,1.0,8,4249,,,,,,
0.0005869018496014178,0.2747419476509094,0.8645833134651184,1.0,8,4299,,,,,,
0.0005075610824860632,0.27836883068084717,0.90625,1.0,8,4349,,,,,,
0.0004336936108302325,0.31515583395957947,0.84375,1.0,8,4399,,,,,,
0.0003653894818853587,0.14449989795684814,0.9479166865348816,1.0,8,4449,,,,,,
0.0003027319035027176,0.1841839998960495,0.9375,1.0,8,4499,,,,,,
,,,,8,4499,0.14125360548496246,0.9502500295639038,0.999833345413208,,,
,,,,8,4499,,,,0.2655656933784485,0.9036458134651184,0.9976875185966492
0.00024579724413342774,0.20993256568908691,0.9270833134651184,1.0,9,4549,,,,,,
0.00019465484365355223,0.2686663269996643,0.90625,1.0,9,4599,,,,,,
0.00014936701336409897,0.24698226153850555,0.90625,1.0,9,4649,,,,,,
0.0001099889341276139,0.20787596702575684,0.9270833134651184,1.0,9,4699,,,,,,
7.656858360860497e-05,0.29735231399536133,0.90625,1.0,9,4749,,,,,,
4.914666715194471e-05,0.13351798057556152,0.9479166865348816,1.0,9,4799,,,,,,
2.775660868792329e-05,0.31682485342025757,0.9270833134651184,1.0,9,4849,,,,,,
1.2424459782778285e-05,0.22558990120887756,0.9166666865348816,0.9895833134651184,9,4899,,,,,,
3.1689048682892462e-06,0.2412826418876648,0.8958333134651184,1.0,9,4949,,,,,,
1.2184696585038068e-09,0.28393393754959106,0.8958333134651184,1.0,9,4999,,,,,,
,,,,9,4999,0.14046239852905273,0.9513333439826965,0.999833345413208,,,
,,,,9,4999,,,,0.25684717297554016,0.9066666960716248,0.9979166388511658
